ID,Min,Max,Letter,Password
0,9,11,p,pppppppppxblp
1,2,4,b,bbxbb
2,3,5,q,dqfqb
3,5,8,g,ggcgggglg
4,10,18,l,gllpmlgtrmnllhllrlll
5,18,19,z,zzzzznszzzzzzzzzzzxz
6,3,6,r,frrhxsnrmgmw
7,1,8,n,zkxhnxnzghnm
8,11,12,z,zzczzzztlzlzzzz
9,4,7,q,qqqbncqqq
10,3,4,c,ccvfc
11,19,20,l,sltlklljdlzglwllllzl
12,6,16,h,dhhhrhvhnhdchfsnhq
13,3,7,l,fllllqjlll
14,8,9,k,xkkjqklkm
15,1,2,l,llgpl
16,2,4,x,qkjxvqlv
17,5,6,c,cwcccjch
18,3,7,n,bnnhnwnqtdnndnncnd
19,8,9,n,nnrkmdnkn
20,6,9,t,ttttrtltptgvcd
21,3,4,h,hhwhhhdhhhh
22,7,8,w,wdwvcwwszcwwwwwq
23,2,4,n,vnng
24,3,13,v,vvvvvvvvvvvvjv
25,9,11,c,zcccccccccfcbccc
26,10,11,w,wkwwwwwwwxw
27,10,12,z,zzzzzjzzzrnzz
28,5,6,t,ttttts
29,13,19,b,bbmfbbbbbrbbgbbbrbbb
30,8,9,d,bdddvkddjbdgdd
31,19,20,m,mmmmmmmmmcmmmmmmmmmq
32,6,18,w,wwwwwwhwjwwwwwwcwjw
33,4,10,t,tttttttttj
34,2,7,j,fbdgmfjbjgjn
35,7,8,w,wwwwwwcww
36,8,12,c,cbmdccbccckjccch
37,13,15,f,fpfffffffffffqf
38,7,11,t,sbtstwdxjpclwd
39,1,3,s,shkkqcs
40,7,8,l,bdggzczl
41,1,6,g,zgggggglggggggw
42,12,16,h,hhhhhhhhhhhhhhphhhh
43,8,19,k,htknkhkrkdkhkpwppkk
44,8,10,k,kkxkkkbrkgk
45,8,9,h,hvhhhhhfhhv
46,15,16,x,xxxxxxxxxxxxxxxh
47,1,12,b,bgwpjbkhbptsbbb
48,9,10,j,pjtjpjpnbjjlsgbn
