RowID,R64,R32,R16,R8,R4,R2,R1,S4,S2,S1
0,false,false,true,false,true,true,true,true,false,true
1,true,true,false,false,true,false,false,true,true,true
2,true,false,false,false,false,true,true,true,true,true
3,false,false,true,false,false,true,true,false,true,true
4,false,false,true,false,true,false,true,false,false,false
5,false,false,true,false,false,true,false,false,true,true
6,true,false,false,false,true,true,true,false,false,true
7,false,false,true,false,true,false,false,true,false,true
8,false,false,true,false,false,false,true,true,true,true
9,false,false,true,false,false,false,false,true,true,false
10,true,false,false,true,true,false,false,false,true,false
11,false,false,false,true,false,false,true,false,true,true
12,false,true,true,false,true,false,false,true,false,true
13,true,false,false,false,true,false,true,true,false,true
14,true,false,true,false,false,true,true,true,false,true
15,false,false,true,true,false,true,true,false,true,true
16,true,false,true,true,true,false,true,true,false,true
17,false,false,true,true,true,false,true,true,true,false
18,false,false,true,false,true,true,true,true,true,true
19,true,false,true,true,true,true,false,true,false,false
20,false,true,true,false,false,false,true,true,true,true
21,true,false,false,true,false,true,false,true,true,true
22,false,false,true,false,true,true,true,false,true,false
23,false,true,false,false,false,false,true,false,false,true
24,true,true,false,false,true,false,true,true,false,false
25,false,true,true,true,false,false,true,false,true,false
26,false,true,true,true,false,false,false,true,true,true
27,true,false,true,false,false,true,false,true,false,true
28,true,false,false,false,false,true,true,false,false,false
29,false,true,false,false,true,true,false,true,false,true
30,true,false,true,true,true,true,true,false,false,true
31,false,false,false,false,true,true,false,false,true,true
32,false,true,false,true,false,true,false,true,false,true
33,false,true,false,false,true,false,false,false,true,true
34,false,false,true,false,false,true,false,true,true,true
35,true,false,false,true,false,true,false,true,false,false
36,true,false,false,false,true,true,true,false,true,true
37,false,false,true,true,false,false,false,false,false,true
38,false,true,true,true,false,true,true,false,true,true
39,false,false,true,true,false,true,false,true,true,false
40,true,false,false,true,false,false,true,true,false,false
41,false,true,false,false,false,true,true,false,false,true
42,true,false,false,false,true,false,true,false,true,false
43,false,false,false,true,false,true,true,true,true,false
44,false,true,true,true,false,true,true,true,false,false
45,true,false,false,true,true,true,false,true,false,false
46,false,true,false,false,false,false,true,false,true,true
47,false,false,false,true,true,true,true,false,true,true
48,false,false,true,false,false,true,true,false,false,false
49,false,true,false,true,false,true,true,true,true,false
50,false,false,false,true,false,true,false,true,false,true
51,false,true,true,false,false,false,false,true,true,true
52,true,false,false,false,true,true,true,true,false,true
53,false,true,true,true,true,false,false,false,true,true
54,false,false,false,false,true,true,false,false,false,true
55,true,false,false,true,true,true,false,true,true,true
56,false,true,true,true,false,false,true,true,false,false
57,false,true,true,true,false,true,false,false,false,true
58,false,true,false,true,true,false,false,true,true,false
59,false,false,false,true,true,false,false,false,false,true
60,false,false,true,false,true,false,false,false,true,false
61,true,false,true,true,true,false,false,true,true,false
62,true,false,false,true,false,true,false,true,true,false
63,false,false,false,true,false,true,true,false,false,false
64,true,false,false,true,false,false,true,false,false,true
65,false,true,false,true,true,false,false,false,false,false
66,false,false,true,true,false,true,false,false,true,true
67,false,false,false,true,true,true,false,true,false,true
