RowID,Contents,Parents,Color
plaidmagenta,"((""clearlavender"", 2),(""clearteal"", 3),(""vibrantgold"", 4))","(""wavycoral"",""wavybronze"",""drabgold"")","(B=203,G=152,R=235,A=255)"
lightteal,"((""drabmagenta"", 4),(""dullcrimson"", 2),(""poshbrown"", 3))","(""wavyplum"")","(B=56,G=222,R=64,A=255)"
wavygray,"((""darkaqua"", 3))","(""shinyplum"")","(B=244,G=84,R=71,A=255)"
fadedmagenta,"((""darkcrimson"", 3),(""darkviolet"", 3))","(""dullcoral"",""mirroredteal"")","(B=59,G=182,R=119,A=255)"
shinyaqua,"((""plaidturquoise"", 1))","(""brightorange"",""wavyplum"",""dottedred"",""stripedmaroon"")","(B=25,G=106,R=58,A=255)"
mutedmaroon,"((""dimcyan"", 2))","(""drabmagenta"",""mutedsilver"",""brightgreen"",""dimindigo"",""plaidviolet"",""brightblue"")","(B=95,G=72,R=161,A=255)"
paleyellow,"((""dottedblack"", 5),(""drabsilver"", 2),(""shinygold"", 3))","(""paleindigo"")","(B=142,G=41,R=102,A=255)"
darkwhite,"((""poshsalmon"", 5),(""wavybrown"", 5),(""darkfuchsia"", 4))",,"(B=241,G=116,R=198,A=255)"
plaidtomato,"((""poshbrown"", 1),(""mutedwhite"", 3),(""vibrantfuchsia"", 4),(""drabmagenta"", 2))","(""brightpurple"")","(B=197,G=74,R=84,A=255)"
wavygreen,"((""palebrown"", 5),(""plaidturquoise"", 3),(""mirroredmaroon"", 2))","(""vibrantsilver"",""stripedplum"")","(B=101,G=37,R=30,A=255)"
poshtomato,"((""mirroredwhite"", 5),(""shinylavender"", 1))","(""shinysilver"",""brightlime"",""dullviolet"",""wavytan"",""dullbrown"",""stripedcyan"")","(B=102,G=121,R=249,A=255)"
vibrantsilver,"((""dottedlavender"", 4),(""wavygreen"", 3),(""stripedyellow"", 1),(""mutedplum"", 4))",,"(B=202,G=254,R=194,A=255)"
mirroredcyan,"((""fadedplum"", 1),(""dullpurple"", 5))","(""vibrantcoral"",""shinytan"",""clearsalmon"",""stripedolive"")","(B=26,G=206,R=103,A=255)"
brightyellow,"((""clearyellow"", 1),(""mutedindigo"", 3))",,"(B=22,G=191,R=67,A=255)"
shinyplum,"((""shinyteal"", 3),(""wavygray"", 3))",,"(B=109,G=226,R=254,A=255)"
stripedgold,"((""dullplum"", 1),(""darkcrimson"", 2),(""brightlime"", 4),(""vibrantteal"", 2))",,"(B=190,G=238,R=217,A=255)"
fadedblack,"((""fadedbronze"", 3))",,"(B=153,G=182,R=237,A=255)"
dimwhite,"((""stripedturquoise"", 5),(""mutedyellow"", 4),(""shinycrimson"", 4))","(""poshgold"")","(B=251,G=201,R=171,A=255)"
lightbronze,"((""brightplum"", 5))",,"(B=7,G=252,R=37,A=255)"
